9100,353365.8172,4610700.1397,751.1600,
9101,353310.3644,4610727.9673,751.8480,
9102,353342.2613,4610774.0014,753.4640,
9103,353396.2585,4610737.7505,751.0320,
9104,353337.3970,4610692.3114,754.0570,
9105,353318.6685,4610705.4016,754.1620,
9106,353312.5626,4610738.0446,754.5720,
9107,353326.1773,4610757.4465,755.2510,
9108,353392.9863,4610765.8461,754.7660,
9109,353396.3951,4610711.0154,753.4580,
9110,353344.3060,4610697.7720,750.7390,
9111,353324.7710,4610711.4800,750.9980,
9112,353372.8220,4610716.1830,750.3790,
9113,353332.6340,4610744.5250,751.2240,
